表1
列1	列2	列3	列4	列5	
TRG-GCC1-4	tRNA-Gly (GCC) 1-4	TRNAG15	tRNA-Gly-GCC-1-4	"transfer RNA glycine 15 (anticodon GCC), ""transfer RNA-Gly (GCC) 1-4"""	
TRG-GCC1-5	tRNA-Gly (GCC) 1-5	TRNAG27	tRNA-Gly-GCC-1-5	"transfer RNA glycine 27 (anticodon GCC), ""transfer RNA-Gly (GCC) 1-5"""	
TRG-GCC2-1	tRNA-Gly (GCC) 2-1	TRNAG31	tRNA-Gly-GCC-2-1	"transfer RNA glycine 31 (anticodon GCC), ""transfer RNA-Gly (GCC) 2-1"""	
TRG-GCC2-2	tRNA-Gly (GCC) 2-2	"TRNAG19, TRG-GCC2-5"	tRNA-Gly-GCC-2-2	"transfer RNA glycine 19 (anticodon GCC), ""transfer RNA-Gly (GCC) 2-5"", ""transfer RNA-Gly (GCC) 2-2"""	
TRG-GCC2-3	tRNA-Gly (GCC) 2-3	"TRNAG29, TRG-GCC2-6"	tRNA-Gly-GCC-2-3	"transfer RNA glycine 29 (anticodon GCC), ""transfer RNA-Gly (GCC) 2-6"", ""transfer RNA-Gly (GCC) 2-3"""	
TRG-GCC2-4	tRNA-Gly (GCC) 2-4	"TRNAG6, TRG-GCC2-2"	tRNA-Gly-GCC-2-4	"transfer RNA glycine 6 (anticodon GCC), ""transfer RNA-Gly (GCC) 2-2"", ""transfer RNA-Gly (GCC) 2-4"""	
TRG-GCC2-5	tRNA-Gly (GCC) 2-5	"TRNAG16, TRG-GCC2-3"	tRNA-Gly-GCC-2-5	"transfer RNA glycine 16 (anticodon GCC), ""transfer RNA-Gly (GCC) 2-3"", ""transfer RNA-Gly (GCC) 2-5"""	
TRG-GCC2-6	tRNA-Gly (GCC) 2-6	"TRG2, TRNAG2, TRG-GCC2-4"	tRNA-Gly-GCC-2-6	"tRNA glycine 2, ""transfer RNA glycine 2"", ""transfer RNA glycine 2 (anticodon GCC)"", ""transfer RNA-Gly (GCC) 2-4"", ""transfer RNA-Gly (GCC) 2-6"""	
TRG-GCC3-1	tRNA-Gly (GCC) 3-1	"TRGL1, TRG5, TRNAG5"	tRNA-Gly-GCC-3-1	"tRNA glycine (GCC)-like 1, ""tRNA glycine 5 (anticodon GCC)"", ""transfer RNA glycine 5 (anticodon GCC)"", ""transfer RNA-Gly (GCC) 3-1"""	
TRG-GCC4-1	tRNA-Gly (GCC) 4-1	TRNAG25	tRNA-Gly-GCC-4-1	"transfer RNA glycine 25 (anticodon GCC), ""transfer RNA-Gly (GCC) 4-1"""	
TRG-GCC5-1	tRNA-Gly (GCC) 5-1	TRNAG20	tRNA-Gly-GCC-5-1	"transfer RNA glycine 20 (anticodon GCC), ""transfer RNA-Gly (GCC) 5-1"""	
TRG-GCC6-1	tRNA-Gly (GCC) 6-1	TRNAG12	tRNA-Gly-GCC-6-1	"transfer RNA glycine 12 (anticodon GCC), ""transfer RNA-Gly (GCC) 6-1"""	
TRG-TCC1-1	tRNA-Gly (TCC) 1-1	"TRG3, TRNAG3"	tRNA-Gly-TCC-1-1	"tRNA glycine (UCC) 3, ""tRNA glycine 3 (anticodon UCC)"", ""transfer RNA glycine 3 (anticodon UCC)"", ""transfer RNA-Gly (TCC) 1-1"""	
TRG-TCC2-1	tRNA-Gly (TCC) 2-1	TRNAG11	tRNA-Gly-TCC-2-1	"transfer RNA glycine 11 (anticodon UCC), ""transfer RNA-Gly (TCC) 2-1"""	
TRG-TCC2-2	tRNA-Gly (TCC) 2-2	TRNAG24	tRNA-Gly-TCC-2-2	"transfer RNA glycine 24 (anticodon UCC), ""transfer RNA-Gly (TCC) 2-2"""	
TRG-TCC2-3	tRNA-Gly (TCC) 2-3	TRNAG13	tRNA-Gly-TCC-2-3	"transfer RNA glycine 13 (anticodon UCC), ""transfer RNA-Gly (TCC) 2-3"""	
TRG-TCC2-4	tRNA-Gly (TCC) 2-4	TRNAG17	tRNA-Gly-TCC-2-4	"transfer RNA glycine 17 (anticodon UCC), ""transfer RNA-Gly (TCC) 2-4"""	
TRG-TCC2-5	tRNA-Gly (TCC) 2-5	TRNAG9	tRNA-Gly-TCC-2-5	"transfer RNA glycine 9 (anticodon UCC), ""transfer RNA-Gly (TCC) 2-5"""	
TRG-TCC2-6	tRNA-Gly (TCC) 2-6	TRNAG8	tRNA-Gly-TCC-2-6	"transfer RNA glycine 8 (anticodon UCC), ""transfer RNA-Gly (TCC) 2-6"""	
TRG-TCC3-1	tRNA-Gly (TCC) 3-1	TRNAG18	tRNA-Gly-TCC-3-1	"transfer RNA glycine 18 (anticodon UCC), ""transfer RNA-Gly (TCC) 3-1"""	
TRG-TCC4-1	tRNA-Gly (TCC) 4-1	TRNAG7	tRNA-Gly-TCC-4-1	"transfer RNA glycine 7 (anticodon UCC), ""transfer RNA-Gly (TCC) 4-1"""	
TRG-TCC5-1	transfer RNA-Gly (TCC) 5-1	TRNAG33P	tRNA-Gly-TCC-5-1	transfer RNA glycine 33 (anticodon UCC) pseudogene	
TRG-TCC6-1	transfer RNA-Gly (TCC) 6-1	TRNAG35P	tRNA-Gly-TCC-6-1	transfer RNA glycine 35 (anticodon UCC) pseudogene	
TRGC1	T cell receptor gamma constant 1	TCRGC1	C1	TCRGC1	
TRGC2	T cell receptor gamma constant 2	TCRGC2	"TRGC2(2X), TRGC2(3X)"	TCRGC2	
TRGJ1	T cell receptor gamma joining 1	TCRGJ1	J1	TCRGJ1	
TRGJ2	T cell receptor gamma joining 2	TCRGJ2	J2	TCRGJ2	
TRGJP	T cell receptor gamma joining P	TCRGJP	JP	TCRGJP	
TRGJP1	T cell receptor gamma joining P1	TCRGJP1	JP1	TCRGJP1	
TRGJP2	T cell receptor gamma joining P2	TCRGJP2	JP2	TCRGJP2	
TRGV1	T cell receptor gamma variable 1 (non-functional)	TCRGV1	V1S1P	TCRGV1	
TRGV2	T cell receptor gamma variable 2	TCRGV2	VIS2	TCRGV2	
TRGV3	T cell receptor gamma variable 3	TCRGV3	V1S3	TCRGV3	
TRGV4	T cell receptor gamma variable 4	TCRGV4	V1S4	TCRGV4	
TRGV5	T cell receptor gamma variable 5	TCRGV5	V1S5	TCRGV5	
TRGV5P	T cell receptor gamma variable 5P (pseudogene)	TCRGV5P	V1S5P	TCRGV5P	
TRGV6	T cell receptor gamma variable 6 (pseudogene)	TCRGV6	"V1S5P, TCRGV5P"	TCRGV6	
TRGV7	T cell receptor gamma variable 7 (pseudogene)	TCRGV7	V1S7P	TCRGV7	
TRGV8	T cell receptor gamma variable 8	TCRGV8	V1S8	TCRGV8	
TRGV9	T cell receptor gamma variable 9	TCRGV9	V2	TCRGV9	
TRGV10	T cell receptor gamma variable 10 (non-functional)	TCRGV10	V3P	TCRGV10	
TRGV11	T cell receptor gamma variable 11 (non-functional)	TCRGV11	V4P	TCRGV11	
TRGVA	T cell receptor gamma variable A (pseudogene)	TCRGVA	V5P	TCRGVA	
TRGVB	T cell receptor gamma variable B (pseudogene)	TCRGVB	V6P	TCRGVB	
TRH	thyrotropin releasing hormone			thyrotropin-releasing hormone	
TRH-GTG1-1	tRNA-His (GTG) 1-1	TRNAH4	tRNA-His-GTG-1-1	"transfer RNA histidine 4 (anticodon GUG), ""transfer RNA-His (GTG) 1-1"""	
TRH-GTG1-2	tRNA-His (GTG) 1-2	TRNAH10	tRNA-His-GTG-1-2	"transfer RNA histidine 10 (anticodon GUG), ""transfer RNA-His (GTG) 1-2"""	
TRH-GTG1-3	tRNA-His (GTG) 1-3	TRNAH9	tRNA-His-GTG-1-3	"transfer RNA histidine 9 (anticodon GUG), ""transfer RNA-His (GTG) 1-3"""	
TRH-GTG1-4	tRNA-His (GTG) 1-4	TRNAH7	tRNA-His-GTG-1-4	"transfer RNA histidine 7 (anticodon GUG), ""transfer RNA-His (GTG) 1-4"""	
TRH-GTG1-5	tRNA-His (GTG) 1-5	"TRNAH3, TRH-GTG1-8"	tRNA-His-GTG-1-5	"transfer RNA histidine 3 (anticodon GUG), ""transfer RNA-His (GTG) 1-8"", ""transfer RNA-His (GTG) 1-5"""	
TRH-GTG1-6	tRNA-His (GTG) 1-6	"TRNAH5, TRH-GTG1-9"	tRNA-His-GTG-1-6	"transfer RNA histidine 5 (anticodon GUG), ""transfer RNA-His (GTG) 1-9"", ""transfer RNA-His (GTG) 1-6"""	
TRH-GTG1-7	tRNA-His (GTG) 1-7	"TRNAH1, TRH-GTG1-5"	tRNA-His-GTG-1-7	"transfer RNA histidine 1 (anticodon GUG), ""transfer RNA-His (GTG) 1-5"", ""transfer RNA-His (GTG) 1-7"""	
TRH-GTG1-8	tRNA-His (GTG) 1-8	"TRNAH2, TRH-GTG1-6"	tRNA-His-GTG-1-8	"transfer RNA histidine 2 (anticodon GUG), ""transfer RNA-His (GTG) 1-6"", ""transfer RNA-His (GTG) 1-8"""	
TRH-GTG1-9	tRNA-His (GTG) 1-9	"TRNAH6, TRH-GTG1-7"	tRNA-His-GTG-1-9	"transfer RNA histidine 6 (anticodon GUG), ""transfer RNA-His (GTG) 1-7"", ""transfer RNA-His (GTG) 1-9"""	
TRH-GTG2-1	tRNA-His (GTG) 2-1	TRNAH11	tRNA-His-GTG-2-1	"transfer RNA histidine 11 (anticodon GUG), ""transfer RNA-His (GTG) 2-1"""	
TRH-GTG3-1	tRNA-His (GTG) 3-1	TRNAH8	tRNA-His-GTG-3-1	"transfer RNA histidine 8 (anticodon GUG), ""transfer RNA-His (GTG) 3-1"""	
TRHDE	thyrotropin releasing hormone degrading enzyme		"PGPEP2, TRH-DE, PAP-II"	thyrotropin-releasing hormone degrading enzyme	
TRHDE-AS1	TRHDE antisense RNA 1			TRHDE antisense RNA 1 (non-protein coding)	
TRHR	thyrotropin releasing hormone receptor			thyrotropin-releasing hormone receptor	
TRI-AAT1-1	tRNA-Ile (AAT) 1-1	TRNAI12	tRNA-Ile-AAT-1-1	"transfer RNA isoleucine 12 (anticodon AAU), ""transfer RNA-Ile (AAT) 1-1"""	
TRI-AAT2-1	tRNA-Ile (AAT) 2-1	TRNAI4	tRNA-Ile-AAT-2-1	"transfer RNA isoleucine 4 (anticodon AAU), ""transfer RNA-Ile (AAT) 2-1"""	
TRI-AAT3-1	tRNA-Ile (AAT) 3-1	TRNAI11	tRNA-Ile-AAT-3-1	"transfer RNA isoleucine 11 (anticodon AAU), ""transfer RNA-Ile (AAT) 3-1"""	
TRI-AAT4-1	tRNA-Ile (AAT) 4-1	TRNAI24	tRNA-Ile-AAT-4-1	"transfer RNA isoleucine 24 (anticodon AAU), ""transfer RNA-Ile (AAT) 4-1"""	
TRI-AAT5-1	tRNA-Ile (AAT) 5-1	"TRNAI9, TRI-AAT5-3"	tRNA-Ile-AAT-5-3	"transfer RNA isoleucine 9 (anticodon AAU), ""transfer RNA-Ile (AAT) 5-3"", ""transfer RNA-Ile (AAT) 5-1"""	
TRI-AAT5-2	tRNA-Ile (AAT) 5-2	"TRNAI20, TRI-AAT5-4"	tRNA-Ile-AAT-5-2	"transfer RNA isoleucine 20 (anticodon AAU), ""transfer RNA-Ile (AAT) 5-4"", ""transfer RNA-Ile (AAT) 5-2"""	
TRI-AAT5-3	tRNA-Ile (AAT) 5-3	"TRNAI17, TRI-AAT5-5"	tRNA-Ile-AAT-5-3	"transfer RNA isoleucine 17 (anticodon AAU), ""transfer RNA-Ile (AAT) 5-5"", ""transfer RNA-Ile (AAT) 5-3"""	
TRI-AAT5-4	tRNA-Ile (AAT) 5-4	"TRNAI15, TRI-AAT5-1"	tRNA-Ile-AAT-5-4	"transfer RNA isoleucine 15 (anticodon AAU), ""transfer RNA-Ile (AAT) 5-1"", ""transfer RNA-Ile (AAT) 5-4"""	
TRI-AAT5-5	tRNA-Ile (AAT) 5-5	"TRNAI23, TRI-AAT5-2"	tRNA-Ile-AAT-5-5	"transfer RNA isoleucine 23 (anticodon AAU), ""transfer RNA-Ile (AAT) 5-2"", ""transfer RNA-Ile (AAT) 5-5"""	
TRI-AAT6-1	tRNA-Ile (AAT) 6-1	TRNAI22	tRNA-Ile-AAT-6-1	"transfer RNA isoleucine 22 (anticodon AAU), ""transfer RNA-Ile (AAT) 6-1"""	
TRI-AAT7-1	tRNA-Ile (AAT) 7-1	TRNAI8	tRNA-Ile-AAT-7-1	"transfer RNA isoleucine 8 (anticodon AAU), ""transfer RNA-Ile (AAT) 7-1"""	
TRI-AAT7-2	tRNA-Ile (AAT) 7-2	TRNAI25	tRNA-Ile-AAT-7-2	"transfer RNA isoleucine 25 (anticodon AAU), ""transfer RNA-Ile (AAT) 7-2"""	
TRI-AAT8-1	tRNA-Ile (AAT) 8-1	TRNAI5	tRNA-Ile-AAT-8-1	"transfer RNA isoleucine 5 (anticodon AAU), ""transfer RNA-Ile (AAT) 8-1"""	
TRI-AAT9-1	tRNA-Ile (AAT) 9-1	"TRI, TRNAI1"	tRNA-Ile-AAT-9-1	"transfer RNA isoleucine, ""transfer RNA isoleucine 1 (anticodon AAU)"", ""transfer RNA-Ile (AAT) 9-1"""	
TRI-AAT10-1	tRNA-Ile (AAT) 10-1	TRNAI28P	tRNA-Ile-AAT-10-1	"transfer RNA isoleucine 28 (anticodon AAU) pseudogene, ""transfer RNA-Ile (AAT) 10-1"""	
TRI-AAT11-1	transfer RNA-Ile (AAT) 11-1	TRNAI29P	tRNA-Ile-AAT-11-1	transfer RNA isoleucine 29 (anticodon AAU) pseudogene	
TRI-AAT12-1	tRNA-Ile (AAT) 12-1	TRNAI30P	tRNA-Ile-AAT-12-1	"transfer RNA isoleucine 30 (anticodon AAU) pseudogene, ""transfer RNA-Ile (AAT) 12-1"""	
TRI-GAT1-1	tRNA-Ile (GAT) 1-1	TRNAI7	tRNA-Ile-GAT-1-1	"transfer RNA isoleucine 7 (anticodon GAU), ""transfer RNA-Ile (GAT) 1-1"""	
TRI-GAT1-2	tRNA-Ile (GAT) 1-2	TRNAI3	tRNA-Ile-GAT-1-2	"transfer RNA isoleucine 3 (anticodon GAU), ""transfer RNA-Ile (GAT) 1-2"""	
TRI-GAT1-3	tRNA-Ile (GAT) 1-3	TRNAI26	tRNA-Ile-GAT-1-3	"transfer RNA isoleucine 26 (anticodon GAU), ""transfer RNA-Ile (GAT) 1-3"""	
TRI-TAT1-1	tRNA-Ile (TAT) 1-1	TRNAI18	tRNA-Ile-TAT-1-1	"transfer RNA isoleucine 18 (anticodon UAU), ""transfer RNA-Ile (TAT) 1-1"""	
TRI-TAT2-1	tRNA-Ile (TAT) 2-1	TRNAI13	tRNA-Ile-TAT-2-1	"transfer RNA isoleucine 13 (anticodon UAU), ""transfer RNA-Ile (TAT) 2-1"""	
TRI-TAT2-2	tRNA-Ile (TAT) 2-2	TRNAI2	tRNA-Ile-TAT-2-2	"transfer RNA isoleucine 2 (anticodon UAU), ""transfer RNA-Ile (TAT) 2-2"""	
TRI-TAT2-3	tRNA-Ile (TAT) 2-3	TRNAI6	tRNA-Ile-TAT-2-3	"transfer RNA isoleucine 6 (anticodon UAU), ""transfer RNA-Ile (TAT) 2-3"""	
TRI-TAT3-1	tRNA-Ile (TAT) 3-1	TRNAI21	tRNA-Ile-TAT-3-1	"transfer RNA isoleucine 21 (anticodon UAU), ""transfer RNA-Ile (TAT) 3-1"""	
TRIAP1	TP53 regulated inhibitor of apoptosis 1		"P53CSV, WF-1, HSPC132, p53CSV, MDM35"		
TRIAP1P1	TP53 regulated inhibitor of apoptosis 1 pseudogene 1	C10orf135	bA748L13.4	chromosome 10 open reading frame 135	
TRIB1	tribbles pseudokinase 1		"C8FW, GIG2, TRB1"	tribbles homolog 1 (Drosophila)	
TRIB2	tribbles pseudokinase 2		"TRB2, GS3955"	tribbles homolog 2 (Drosophila)	
TRIB3	tribbles pseudokinase 3	C20orf97	"dJ1103G7.3, TRB3"	"chromosome 20 open reading frame 97, ""tribbles homolog 3 (Drosophila)"""	
TRICY1	trichilemmal cyst 1				
TRIL	TLR4 interactor with leucine rich repeats		KIAA0644		
TRIM2	tripartite motif containing 2		"KIAA0517, RNF86, CMT2R"	tripartite motif-containing 2	
TRIM3	tripartite motif containing 3	RNF22	"HAC1, BERP, RNF97"	tripartite motif-containing 3	
TRIM4	tripartite motif containing 4		RNF87	tripartite motif-containing 4	
TRIM5	tripartite motif containing 5		"RNF88, TRIM5alpha"	tripartite motif-containing 5	
TRIM6	tripartite motif containing 6		RNF89	tripartite motif-containing 6	
TRIM6-TRIM34	TRIM6-TRIM34 readthrough				
TRIM7	tripartite motif containing 7		"RNF90, GNIP"	tripartite motif-containing 7	
TRIM8	tripartite motif containing 8	RNF27	GERP	"ring finger protein 27, ""tripartite motif-containing 8"""	
TRIM9	tripartite motif containing 9		"SPRING, RNF91"	tripartite motif-containing 9	
TRIM10	tripartite motif containing 10	RNF9	"RFB30, HERF1"	tripartite motif-containing 10	
TRIM11	tripartite motif containing 11		"RNF92, BIA1"	tripartite motif-containing 11	
TRIM13	tripartite motif containing 13	RFP2	"Leu5, RNF77, DLEU5"	"ret finger protein 2, ""tripartite motif-containing 13"""	
TRIM14	tripartite motif containing 14		KIAA0129	tripartite motif-containing 14	
TRIM15	tripartite motif containing 15	ZNF178	"ZNFB7, RNF93"	"zinc finger protein 178, ""tripartite motif-containing 15"""	
TRIM16	tripartite motif containing 16		EBBP	tripartite motif-containing 16	
TRIM16L	tripartite motif containing 16 like		TRIM70	tripartite motif-containing 16-like	
TRIM17	tripartite motif containing 17	RNF16	"terf, RBCC"	tripartite motif-containing 17	
TRIM21	tripartite motif containing 21	SSA1	"RNF81, RO52"	"Sjogren syndrome antigen A1 (52kDa, ribonucleoprotein autoantigen SS-A/Ro), ""tripartite motif-containing 21"""	
TRIM22	tripartite motif containing 22		"STAF50, GPSTAF50, RNF94"	tripartite motif-containing 22	
TRIM23	tripartite motif containing 23	ARFD1	"ARD1, RNF46"	"ADP-ribosylation factor domain protein 1, 64kDa, ""tripartite motif-containing 23"""	
TRIM24	tripartite motif containing 24	TIF1	"hTIF1, Tif1a, RNF82, TIF1A"	"transcriptional intermediary factor 1, ""tripartite motif-containing 24"""	
TRIM25	tripartite motif containing 25	ZNF147	"EFP, RNF147"	"zinc finger protein 147 (estrogen-responsive finger protein), ""tripartite motif-containing 25"""	
TRIM26	tripartite motif containing 26	ZNF173	RNF95	tripartite motif-containing 26	
TRIM26BP	"tripartite motif containing 26B, pseudogene"	TRIM26P	"Em:AB023053.1, TRIM26P1"	tripartite motif-containing 26 pseudogene	
TRIM27	tripartite motif containing 27	RFP	RNF76	"ret finger protein, ""tripartite motif-containing 27"""	
TRIM28	tripartite motif containing 28		"TIF1B, KAP1, TF1B, RNF96, PPP1R157"	tripartite motif-containing 28	
TRIM29	tripartite motif containing 29		"ATDC, FLJ36085"	tripartite motif-containing 29	
TRIM31	tripartite motif containing 31		"RNF, HCGI, C6orf13, HCG1"	tripartite motif-containing 31	
TRIM31-AS1	TRIM31 antisense RNA 1			TRIM31 antisense RNA 1 (non-protein coding)	
TRIM32	tripartite motif containing 32	LGMD2H	"HT2A, TATIP, BBS11"	"limb girdle muscular dystrophy 2H (autosomal recessive), ""tripartite motif-containing 32"""	
TRIM33	tripartite motif containing 33		"TIF1GAMMA, FLJ11429, KIAA1113, TIFGAMMA, RFG7, TF1G, TIF1G, PTC7"	tripartite motif-containing 33	
TRIM34	tripartite motif containing 34	RNF21		tripartite motif-containing 34	
TRIM35	tripartite motif containing 35		"KIAA1098, MAIR, HLS5"	tripartite motif-containing 35	
TRIM36	tripartite motif containing 36		"RBCC728, RNF98, HAPRIN"	tripartite motif-containing 36	
TRIM36-IT1	TRIM36 intronic transcript 1			TRIM36 intronic transcript 1 (non-protein coding)	
TRIM37	tripartite motif containing 37	MUL	"KIAA0898, POB1, TEF3"	tripartite motif-containing 37	
TRIM38	tripartite motif containing 38	RNF15	RORET	"ring finger protein 15, ""tripartite motif-containing 38"""	
TRIM39	tripartite motif containing 39	RNF23		"ring finger protein 23, ""tripartite motif-containing 39"""	
TRIM39-RPP21	TRIM39-RPP21 readthrough				
TRIM40	tripartite motif containing 40		RNF35	tripartite motif-containing 40	
TRIM41	tripartite motif containing 41		"MGC1127, RINCK"	tripartite motif-containing 41	
TRIM42	tripartite motif containing 42		"FLJ40097, PPP1R40, T4A1"	tripartite motif-containing 42	
TRIM43	tripartite motif containing 43		TRIM43A	tripartite motif-containing 43	
TRIM43B	tripartite motif containing 43B			tripartite motif-containing 43B	
TRIM43CP	"tripartite motif containing 43C, pseudogene"				
TRIM44	tripartite motif containing 44		"DIPB, MC7"	tripartite motif-containing 44	
TRIM45	tripartite motif containing 45		"FLJ13181, RNF99"	tripartite motif-containing 45	
TRIM46	tripartite motif containing 46		"FLJ23229, TRIFIC"	tripartite motif-containing 46	
TRIM47	tripartite motif containing 47		"GOA, RNF100"	tripartite motif-containing 47	
TRIM48	tripartite motif containing 48		RNF101	tripartite motif-containing 48	
TRIM49	tripartite motif containing 49	RNF18	TRIM49A	"ring finger protein 18, ""tripartite motif-containing 49"""	
TRIM49B	tripartite motif containing 49B				
TRIM49C	tripartite motif containing 49C	TRIM49L2		tripartite motif containing 49-like 2	
TRIM49D1	tripartite motif containing 49D1	"TRIM49DP, TRIM49D1P"	TRIM49D	"tripartite motif containing 49D, pseudogene, ""tripartite motif containing 49D1, pseudogene"""	
TRIM49D2	tripartite motif containing 49D2	"TRIM49L, TRIM49L1, TRIM49D2P"		"tripartite motif-containing 49-like, ""tripartite motif containing 49-like 1"", ""tripartite motif containing 49D2, pseudogene"""	
TRIM50	tripartite motif containing 50	TRIM50A	FLJ32804	"tripartite motif-containing 50A, ""tripartite motif-containing 50"""	
TRIM51	tripartite motif-containing 51	SPRYD5	TRIM51A	SPRY domain containing 5	
TRIM51BP	"tripartite motif-containing 51B, pseudogene"	"SPRYD5P, SPRYD5P1"		"SPRY domain containing 5 pseudogene, ""SPRY domain containing 5 pseudogene 1"""	
TRIM51CP	"tripartite motif-containing 51C, pseudogene"				
TRIM51DP	"tripartite motif-containing 51D, pseudogene"				
TRIM51EP	"tripartite motif-containing 51E, pseudogene"				
TRIM51FP	"tripartite motif-containing 51F, pseudogene"				
TRIM51GP	"tripartite motif-containing 51G, pseudogene"				
TRIM51HP	"tripartite motif-containing 51H, pseudogene"				
TRIM51JP	"tripartite motif-containing 51J, pseudogene"				
TRIM52	tripartite motif containing 52		RNF102	tripartite motif-containing 52	
TRIM52-AS1	TRIM52 antisense RNA 1 (head to head)				
TRIM53AP	"tripartite motif containing 53A, pseudogene"	"TRIM53, TRIM53P"		"tripartite motif-containing 53, ""tripartite motif containing 53"", ""tripartite motif containing 53, pseudogene"""	
TRIM53BP	"tripartite motif containing 53B, pseudogene"	"TRIM53L, TRIM53B, TRIM80P"		"tripartite motif-containing 53-like, ""tripartite motif containing 53B"", ""tripartite motif containing 80, pseudogene"""	
TRIM53CP	"tripartite motif containing 53C, pseudogene"				
TRIM54	tripartite motif containing 54	RNF30	"MURF, MURF-3"	"ring finger protein 30, ""tripartite motif-containing 54"""	
TRIM55	tripartite motif containing 55	RNF29	MURF-2	"ring finger protein 29, ""tripartite motif-containing 55"""	
TRIM56	tripartite motif containing 56		RNF109	tripartite motif-containing 56	
TRIM58	tripartite motif containing 58		BIA2	tripartite motif-containing 58	
TRIM59	tripartite motif containing 59	TRIM57	"TSBF1, Mrf1, RNF104"	"tripartite motif-containing 57, ""tripartite motif-containing 59"""	
TRIM60	tripartite motif containing 60	"RNF129, RNF33"	FLJ35882	"ring finger protein 129, ""tripartite motif-containing 60"""	
TRIM60P1Y	"tripartite motif containing 60 pseudogene 1, Y-linked"	TRIM60PY1	TRIM60P1	"tripartite motif-containing 60 pseudogene, Y-linked 1, ""tripartite motif-containing 60 pseudogene 1, Y-linked"""	
TRIM60P2Y	"tripartite motif containing 60 pseudogene 2, Y-linked"	TRIM60PY2	TRIM60P2	"tripartite motif-containing 60 pseudogene, Y-linked 2, ""tripartite motif-containing 60 pseudogene 2, Y-linked"""	
TRIM60P3Y	"tripartite motif containing 60 pseudogene 3, Y-linked"	TRIM60PY3	TRIM60P3	"tripartite motif-containing 60 pseudogene, Y-linked 3, ""tripartite motif-containing 60 pseudogene 3, Y-linked"""	
TRIM60P4Y	"tripartite motif containing 60 pseudogene 4, Y-linked"	TRIM60PY4	TRIM60P4	"tripartite motif-containing 60 pseudogene, Y-linked 4, ""tripartite motif-containing 60 pseudogene 4, Y-linked"""	
TRIM60P5Y	"tripartite motif containing 60 pseudogene 5, Y-linked"	TRIM60PY5	TRIM60P5	"tripartite motif-containing 60 pseudogene, Y-linked 5, ""tripartite motif-containing 60 pseudogene 5, Y-linked"""	
TRIM60P6Y	"tripartite motif containing 60 pseudogene 6, Y-linked"	TRIM60PY6	TRIM60P6	"tripartite motif-containing 60 pseudogene, Y-linked 6, ""tripartite motif-containing 60 pseudogene 6, Y-linked"""	
TRIM60P7Y	"tripartite motif containing 60 pseudogene 7, Y-linked"	TRIM60PY7	TRIM60P7	"tripartite motif-containing 60 pseudogene, Y-linked 7, ""tripartite motif-containing 60 pseudogene 7, Y-linked"""	
TRIM60P8Y	"tripartite motif containing 60 pseudogene 8, Y-linked"	TRIM60PY8	TRIM60P8	"tripartite motif-containing 60 pseudogene, Y-linked 8, ""tripartite motif-containing 60 pseudogene 8, Y-linked"""	
TRIM60P9Y	"tripartite motif containing 60 pseudogene 9, Y-linked"	TRIM60PY9	TRIM60P9	"tripartite motif-containing 60 pseudogene, Y-linked 9, ""tripartite motif-containing 60 pseudogene 9, Y-linked"""	
TRIM60P10Y	"tripartite motif containing 60 pseudogene 10, Y-linked"	TRIM60PY10	TRIM60P10	"tripartite motif-containing 60 pseudogene, Y-linked 10, ""tripartite motif-containing 60 pseudogene 10, Y-linked"""	
TRIM60P11Y	"tripartite motif containing 60 pseudogene 11, Y-linked"	TRIM60PY11	TRIM60P11	"tripartite motif-containing 60 pseudogene, Y-linked 11, ""tripartite motif-containing 60 pseudogene 11, Y-linked"""	
TRIM60P12Y	"tripartite motif containing 60 pseudogene 12, Y-linked"	TRIM60PY12	TRIM60P12	"tripartite motif-containing 60 pseudogene, Y-linked 12, ""tripartite motif-containing 60 pseudogene 12, Y-linked"""	
TRIM60P13	tripartite motif containing 60 pseudogene 13			tripartite motif-containing 60 pseudogene 13	
TRIM60P14	tripartite motif containing 60 pseudogene 14			tripartite motif-containing 60 pseudogene 14	
TRIM60P15	tripartite motif containing 60 pseudogene 15			tripartite motif-containing 60 pseudogene 15	
TRIM60P16	tripartite motif containing 60 pseudogene 16			tripartite motif-containing 60 pseudogene 16	
TRIM60P17	tripartite motif containing 60 pseudogene 17			tripartite motif-containing 60 pseudogene 17	
TRIM60P18	tripartite motif containing 60 pseudogene 18			tripartite motif-containing 60 pseudogene 18	
TRIM60P19	tripartite motif containing 60 pseudogene 19				
TRIM61	tripartite motif containing 61	RNF35		"ring finger protein 35, ""tripartite motif-containing 61"""	
TRIM62	tripartite motif containing 62		"FLJ10759, DEAR1"	tripartite motif-containing 62	
TRIM63	tripartite motif containing 63	RNF28	"MURF-1, IRF, SMRZ"	"ring finger protein 28, ""tripartite motif containing 63, E3 ubiquitin protein ligase"""	
TRIM64	tripartite motif containing 64	C11orf28	TRIM64A	"chromosome 11 open reading frame 28, ""tripartite motif-containing 64"""	
TRIM64B	tripartite motif containing 64B			tripartite motif-containing 64B	
TRIM64C	tripartite motif containing 64C			tripartite motif-containing 64C	
TRIM64DP	"tripartite motif containing 64D, pseudogene"				
TRIM64EP	"tripartite motif containing 64E, pseudogene"				
TRIM64FP	"tripartite motif containing 64F, pseudogene"				
TRIM65	tripartite motif containing 65			tripartite motif-containing 65	
